namespace,pod,container,timestamp,throughput-average
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733541480000,39.86540169182596
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733541540000,24.737426888325192
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733541600000,37.203360303511275
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733541660000,27.072000000000003
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733541720000,46.16177711125691
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733541780000,24.26176477016896
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733541840000,41.50622988369567
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733541900000,27.358886969513044
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733541960000,37.2223009781486
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733542020000,22.803581421376613
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733542080000,42.92126018562901
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733542140000,22.40087954373669
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733542200000,43.654574866487906
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733542260000,21.511525602674645
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733542320000,49.410606192255344
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733542380000,26.834906985286175
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733542440000,44.39774070668592
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733542500000,28.340520181268328
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733542560000,45.934645185581516
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733542620000,30.11836913634371
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733542680000,44.040210627094304
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733542740000,14.08621736490589
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733542800000,42.72527100271003
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733542860000,17.529621814640482
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733542920000,41.31488090057156
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733542980000,23.866903370248835
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733543040000,41.6
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733543100000,22.843736494412546
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733543160000,46.34312733774024
